,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
178,Brian's Belief,3.5,4,1 1/2 oz Añejo rum,1/2 oz Dark Creme de Cacao,1/2 oz Lemon juice,2 tsp superfine Sugar,4 oz cold Tea,
179,Broken Spur Cocktail,5.0,10,3/4 oz Sweet Vermouth,1 1/2 oz Port,1/4 tsp Triple sec,,,
180,Bronx Cocktail (Dry),8.3,9,1 oz Dry Vermouth,1 oz Gin,Juice of 1/4 Orange,1 slice Orange,,
181,Bronx Golden Cocktail,8.7,3,1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,1 oz Gin,Juice of 1/4 Orange,1 slice Orange,1 Egg yolk
182,Bronx Silver Cocktail,4.3,3,1/2 oz Dry Vermouth,1 oz Gin,Juice of 1/2 Orange,1 Egg white,,
183,Bronx Terrace Cocktail,5.4,5,1 1/2 oz Dry Vermouth,1 1/2 oz Gin,Juice of 1/2 Lime,1 Cherry,,
184,Brown Bomber,5.0,2,1/2 oz Peanut liqueur,1/2 oz white Creme de Cacao,2 oz Light cream,,,
185,Brown Cocktail,4.0,4,3/4 oz Light rum,3/4 oz Gin,3/4 oz Dry Vermouth,,,
186,Buck Jones,4.0,4,1 1/2 oz Light rum,1 oz sweet Sherry,Juice of 1/2 Lime,,,
187,Buddy's Favorite,4.9,14,1 1/2 oz Bourbon,6 oz cold Water,,,,
188,Bull's Eye,7.3,3,1 oz Brandy,2 oz hard Cider,,,,
189,Bull's Milk,5.7,7,1 oz Light rum,1 1/2 oz Brandy,1 cup Milk,1 tsp Powdered sugar,1 pinch Cinnamon,
190,Bulldog Cocktail,7.9,8,1 1/2 oz Cherry brandy,3/4 oz Gin,Juice of 1/2 Lime,,,
191,Bulldog Highball,8.1,17,2 oz Gin,Juice of 1/2 Orange,,,,
192,Bumbo,1.6,7,2 oz Dark rum,1 oz Lemon juice,1/2 tsp Grenadine,1/4 tsp grated Nutmeg,,
193,Burgundy Bishop,2.7,3,1 oz Light rum,Juice of 1/4 Lemon,1 tsp Powdered sugar,,,
194,Burnt Embers,5.7,6,1 1/2 oz Añejo rum,1/2 oz Apricot brandy,1 oz Pineapple juice,,,
195,Bushranger #1,4.0,6,1 1/2 oz Light rum,1/2 oz Dubonnet Rouge,1 dash Bitters,1 twist of Lemon peel,,
196,Bushranger #2,5.0,2,1 1/2 oz Light rum,1 oz Dubonnet Blanc,1 dash Bitters,,,
197,Button Hook Cocktail,2.0,1,1/2 oz Brandy,1/2 oz Apricot brandy,1/2 oz Anis,1/2 oz White Creme de Menthe,,
198,Cabaret,4.1,9,1 oz Gin,1/2 oz Dry Vermouth,1/2 oz Benedictine,2 dashes Bitters,1 Maraschino cherry,
199,Cablegram,6.4,38,2 oz Blended whiskey,Juice of 1/2 Lemon,1 tsp Powdered sugar,,,
200,Cactus Bite,6.3,83,2 oz Tequila,2 oz Lemon juice,2 tsp Triple sec,2 tsp Drambuie,1/2 tsp superfine Sugar,1 dash Bitters
201,Cafe de Paris,1.5,2,2 oz Gin,1/2 oz Anisette,1 Egg white,1 oz Heavy cream,,
202,Cafe De Paris Cocktail,6.0,2,1 1/2 oz Gin,1 tsp Anis,1 tsp Light cream,1 Egg white,,
203,Caipirinha,6.4,7755,2 tsp granulated Sugar,1 Lime,2 1/2 oz Cachaca,,,
204,Caleigh,6.4,5,1 1/2 oz Scotch,1/2 oz Blue Curacao,1/2 oz white Creme de Cacao,,,
205,California Dream,4.4,12,2 oz Tequila,1 oz Sweet Vermouth,1/2 oz Dry Vermouth,1 Maraschino cherry,,
206,California Lemonade,7.7,6,2 oz Blended whiskey,Juice of 1 Lemon,Juice of 1 Lime,1 tblsp Powdered sugar,1/4 tsp Grenadine,
207,Calm Voyage,nan,0,1/2 oz Light rum,1/2 oz Strega,1 tblsp Passion fruit syrup,2 tsp Lemon juice,1/2 Egg white,
208,Campbell F. Craig,7.3,3,1 1/2 oz Tequila,2 oz Orange juice,2 oz Pineapple juice,1/2 oz Chambord raspberry liqueur,,
209,Canadian Cherry,8.8,9,1 1/2 oz Canadian whisky,1/2 oz Cherry brandy,1 1/2 tsp Orange juice,1 1/2 tsp Lemon juice,,
210,Canadian Cocktail,8.3,3,1 1/2 oz Canadian whisky,1 1/2 tsp Triple sec,1 dash Bitters,1 tsp Powdered sugar,,
211,Canadian Pineapple,9.0,3,1 1/2 oz Canadian whisky,1 tsp Pineapple juice,1 tblsp Lemon juice,1/2 tsp Maraschino liqueur,1 stick Pineapple,
212,Cape Of Good Will,8.5,2,1 1/2 oz Light rum,1/2 oz Apricot brandy,1/2 oz Lime juice,1 oz Orange juice,2 dashes Orange bitters,
213,Cappucino Cocktail,6.6,5,3/4 oz Coffee brandy,3/4 oz Vodka,3/4 oz Light cream,,,
214,Capri,7.0,2,3/4 oz white Creme de Cacao,3/4 oz Creme de Banane,3/4 oz Light cream,,,
215,Captain Cook,7.0,3,1 1/2 oz Gin,1/2 oz Maraschino liqueur,1 oz Orange juice,,,
