,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
2804,Morning Dew,8.8,13,8 L Mountain Dew,64 oz Orange juice,1 bottle Southern Comfort,,,
2805,Torpedo,7.4,5,,,,,,
2806,Smooth Pink Lemonade,8.6,18,1-1/2 oz Vodka,1 part Cranberry juice,1 part Sour mix,1 splash 7-Up,,
2807,Lady 52,8.3,10,1 oz Kahlua,1 oz Irish cream,1 - 1 1/2 oz Cream,1/2 oz Cointreau,Ground Chocolate,
2808,Fourth of July,9.1,18,1/2 oz Grenadine,1/2 oz Blue Curacao,1/2 oz Cream,,,
2809,On the Deck,6.5,4,1 1/4 oz Spiced rum,3/4 oz Dark rum,1/2 oz Cointreau,4 1/2 oz Lemonade,1 oz Cranberry juice,
2810,Jamaican Qualude,9.1,18,1 oz Malibu rum,1 oz Frangelico,1 oz Bailey's irish cream,1 oz Milk,,
2811,Bellini Martini,6.5,24,8 cubes Ice,3 oz Vodka,1.5 oz Peach nectar,1.5 oz Peach schnapps,1 Lemon peel,
2813,Good Morning!,6.5,2,2 shots Espresso,1 1/2 scoop Vanilla ice-cream,1 tsp Sugar,3 oz Bailey's irish cream,3 oz Tia maria,2 scoops Ice
2814,The Fucking Shit,5.8,143,4 parts Cranberry juice,1 part frozen Pink lemonade,2 parts Vodka,,,
2815,Mexican Flag,6.3,63,1 oz Grenadine,1 oz Green Creme de Menthe,1 oz Tequila,,,
2816,Mark and Coke,6.7,69,4 oz Bourbon,6 oz Coca-Cola,,,,
2817,Mudslide #3,4.6,44,1 or 2 shot Bailey's irish cream,1 or 2 shot Tia maria,Fill with 1 Coca-Cola,,,
2818,Shark Tank,7.9,17,6 oz Vodka,6 oz Lemonade,3 oz Grenadine,,,
2819,Monkey Spanker,8.4,20,3 oz Tennessee whiskey,1 can Ginger ale,,,,
2820,Raspberry Kamakazie,6.3,99,1 oz Chambord raspberry liqueur,1/2 oz Vodka,1/2 oz Triple sec,1 oz Sweet and sour,,
2821,Moranguito,7.9,18,2/5 Absinthe,2/5 Tequila,1/5 Grenadine,,,
2822,Pedra (stone),7.0,8,1/6 Tequila,1/6 Vodka,1/6 Black rum,1/6 Bailey's irish cream,1/6 Grenadine,1/6 Absinthe
2823,Kryptonite kooler,7.9,10,1 1/2 oz Rum,3 oz Maui,6 oz Pineapple juice,,,
2824,Amaretto Sweet & Sour,6.5,65,,,,,,
2825,Liquid Courage,7.1,7,1 pint Milk,4-6 scoops vanilla or Chocolate ice-cream,8-12 oz Creme de Cacao,6 oz Vodka,6 oz Rum,
2826,Agua de Valencia,6.5,128,1/4 L Cava Sparkling white wine,3/4 L Orange juice,1 dl Cointreau,50 gr Sugar,,
2828,Fucked up Float,7.6,18,1 oz Kahlua,1 oz Peppermint schnapps,1 oz Vodka,3 oz Coca-Cola,2 scoops Ice-cream,
2829,Johnny Cat,5.7,10,1 oz Gin,1 oz Dry Vermouth,1/2 oz Triple sec,Swirl of Grenadine,Fill with Club soda,4 Ice
2830,Green Zone,8.3,6,4 oz Tequila,4 oz Pisang Ambon,8 oz Orange juice,,,
2831,Robert says: MASS,4.5,2,6 cl Vodka,3 cl Rose's sweetened lime juice,Fill with Tonic water,,,
2832,Milk of Amnesia,6.6,57,4-5 oz Champagne,1-2 jigger Chambord raspberry liqueur,,,,
2833,Jack Frost,8.9,8,2 tblsp Jack Daniels,1 tblsp Drambuie,1 dash Grenadine,1/4 cup Sweet and sour,1/4 cup Orange juice,
2834,Born on the 4th of July,5.3,9,1.5 oz Blue Curacao,1.5 oz Sloe gin,Fill Cream,,,
2835,Toblerone #1,5.8,55,3 cl Frangelico,3 cl Kahlua,3 cl Bailey's irish cream,6 cl Cream,1 tblsp Honey,
2836,Sunburn,7.0,3,2 bottles Rum,1 gal Strawberry juice,Juice of 1 gal Orange,Juice of 1 gal Banana,1 fifth Grenadine,
2837,Snake in the grass,6.5,10,2 cl Cointreau,2 cl Gin,2 cl Vermouth,2 cl Lemon juice,,
2838,Bigger better Blue Lagoon,7.4,20,1 oz Malibu rum,1 oz Light rum,1 oz Peach schnapps,1 oz Blue Curacao,1 Cherry,2 oz Pineapple juice
2839,French Toast,8.2,23,1/3 Bailey's irish cream,1/3 Hot Damn,1/3 Butterscotch schnapps,,,
2840,The Icelandic way,5.4,5,3 cl Vodka,6 cl Lemon soda,Fill with Beer,And Coca-Cola,,
2841,Raspberry Stupid,8.0,5,3 oz Zima,1 oz Raspberry schnapps,,,,
2843,Spring,8.0,6,4 cl Gin,4 cl Pisang Ambon,Fill whith Sprite,,,
2844,The Graveyard,5.9,40,1 oz Tabasco sauce,1 oz Tequila,,,,
2845,Toblerone #2,5.8,89,30 ml Frangelico,15 ml Bailey's irish cream,15 ml Kahlua,75 ml Cream,1 tsp Honey,
2846,Screwdriver (modified),6.3,39,3 oz Orange juice,2 oz Vodka,3 oz Apple juice,,,
2847,Roadrunner Punch,6.3,1145,1 part Malibu rum,1 part Blue Curacao,1 part Peach schnapps,Fill with Fruit punch,,
2848,Rum Runner,6.5,82,1 1/2 oz Malibu rum,1 oz Blackberry brandy,3-4 oz Orange juice,3-4 oz Pineapple juice,3-4 oz Cranberry juice,
2849,Ginelico,5.6,5,2 oz Gin,1/2 oz Frangelico,1 pinch Nutmeg,,,
2850,Blitz,5.8,36,1/6 part Tequila,1/6 part Triple sec,1/6 part Southern Comfort,1/6 part Grenadine,1/6 part Lemon juice,1/6 part Orange juice
2851,Orgasm a la Denmark,6.9,18,4 cl Bailey's irish cream,2 cl Vodka,,,,
2852,More Orgasms,6.3,14,2 cl Bailey's irish cream,2 cl Vodka,2 cl Malibu rum,,,
2853,Horse's Ass,4.0,22,1/2 Ginger ale,1/2 Soda water,,,,
2854,H.D.,8.3,9,4 cl Whisky,8 cl Bailey's irish cream,,,,
2855,Horse Jizz,4.0,185,1/2 Beer,1/2 Milk,,,,
2856,Long Island Iced Tea #6,6.4,85,2 cl Vodka,2 cl Tequila,2 cl Gin,2 cl Rum,2 cl Cointreau,
2857,Cowboy Cocksucker #2,6.6,66,1/3 Butterscotch schnapps,1/3 Bailey's irish cream,1/3 Southern Comfort,,,
2858,Blow Job #3,6.4,735,,,,,,
2859,The Evil Blue Thing,6.3,20,1 1/2 oz Creme de Cacao,1 oz Blue Curacao,1/2 oz Light rum,,,
2860,Shark Attack,3.7,14,1 can Lemonade,3 cans Water,1 1/2 cup Vodka,,,
2861,Jack's Vanilla Coke,6.4,39,4-5 Ice,2 oz Tennessee whiskey,1 tsp Vanilla extract,10-12 oz Coca-Cola,,
2862,Viscous Robert,1.0,1,1 oz Angostura bitters,1 dash Southern Comfort,Twist of Lemon peel,,,
2863,The Pink Drink,9.5,14,1/2 oz Galliano,1/2 oz Vodka,1/2 oz Cointreau,1 oz Grenadine,1 oz Milk,
2864,Sid's Special,7.0,4,4 oz Gin,1 tblsp frozen Lime juice,Fill with 7-Up,,,
2865,Tripwire,2.8,5,1 gal high proof Vodka,1 can Lemonade,Juice of 3 - 6 Lemon,Fill with 3 1/2 - 4 gal ice cold Water,,
2866,Ambijaxtrious,3.6,23,2 shots Vodka,2 shots Tequila,2 shots Kahlua,Pour in 2 oz Milk,Add 2 dashes Grenadine,
2867,Mutated Mothers Milk,5.0,1,1 oz Jägermeister,1 oz Irish cream,1/2 oz Peppermint schnapps,,,
2868,Apple Grande,6.4,17,3 oz Tequila,12 oz Apple cider,,,,
2869,Amer Picon Punch,9.4,15,Fill glass with Ice,1 tsp Grenadine,2 1/2 oz Amer Picon,Fill with Soda water,1 oz Brandy,
2870,Tequila Press,5.0,7,Juice of 1 Lemon,1 cup Soda water,1-2 shot Tequila,,,
2871,Bleeding Surgeon,7.0,10,1 shot Dark rum,1 slice Orange,1/2 glass Surge,1/2 glass Cranberry juice,,
2872,Kansas City Ice Water,6.3,477,3/4 oz Gin,3/4 oz Vodka,1/2 oz Lime juice,Fill with 7-Up,,
2873,Jen's Mountain Gin,5.5,2,2 oz Lemon gin,Fill with Mountain Dew,Some Sugar,1 wedge Lime,,
2874,Suicide Stop Light,7.2,10,1 1/2 oz Midori melon liqueur,1 1/2 oz Absolut Vodka,1 1/2 oz Aftershock,1 splash Orange juice,,
2875,Spikey Hedgehog,7.0,4,1 oz Grenadine,1 oz Cranberry juice,1 dash Lime juice,Fill with Club soda,,
2876,Epidural,10.0,9,1 part Everclear,1 part Vodka,1 part Malibu rum,1 part Coconut cream,,
2877,Magic's Tornado,8.5,6,4 cl Southern Comfort,4 cl Vodka,3 cl Almond syrup,3 cl Rose's sweetened lime juice,2 cl fresh Lemon juice,
2878,Cayman Sunset,6.4,39,1 1/2 oz Light rum,1/2 oz Pina colada mix,Fill with Pineapple juice,1/2 oz Grenadine,,
2879,Applejack,6.2,24,1 oz Jack Daniels,1/2 oz Midori melon liqueur,2 oz Sour mix,,,
2880,Hazelnut Martini,7.1,18,1 oz Vodka,1/2 oz Frangelico,,,,
2881,Algae,6.5,85,1/2 oz Vodka,1/2 oz Melon liqueur,1/2 oz Raspberry schnapps,1/2 oz Blue Curacao,2 oz Sweet and sour,2 oz 7-Up
2882,Island Girl,8.4,9,1 1/2 oz Stoli Vodka,4 oz Guava juice,1 splash Cranberry juice,1 dash Orange juice,,
2883,Sensei on the Rocks,6.3,50,1 part Kahlua,1 part Malibu rum,splash Jack Daniels,,,
2884,Sweet Sunset,7.0,3,1 1/2 oz Light rum,2 1/2 oz Passion fruit syrup,2 oz Sweet and sour,1 oz pureed frozen Strawberries,,
2885,Suicide The Shot,5.6,13,11/2 oz 151 proof rum,1/4 oz Tabasco sauce,,,,
2886,The Power of Milk,6.5,51,3 tsp Sugar,5 cl Vodka,15 cl Milk,,,
2887,Pedro Collins,8.0,5,1 1/2 oz Bacardi Limon,1 splash Sweet and sour,2 oz 7-Up,2 oz Club soda,,
2888,Bitchin' Apple Cider,7.0,47,1 part Goldschlager,3 parts Apple juice,,,,
2889,Apple Cider Slider,8.5,11,1 oz Spiced rum,3/4 oz Apple schnapps,3/4 oz Cinnamon schnapps,1 splash 7-Up,,
2890,Adam Bomb,6.6,144,1 part Rum,1 part Vodka,1 part Tequila,1/2 part Triple sec,1/2 glass Ice,1-3 pint Fruit juice
2891,Three Wise Men (on a farm),8.7,19,1 shot Jack Daniels,1 shot Jim Beam,1 shot Yukon Jack,1 shot Wild Turkey,,
2892,Royal Scandal,7.7,6,1 part Crown Royal,1 part Southern Comfort,1 part Amaretto,1 splash Sweet and sour,1 splash Pineapple juice,
2894,Harry Denton Martini,8.8,12,1 1/4 oz Gin,1/2 oz Green Chartreuse,,,,
2895,Sizz Snot,7.8,4,2 measures Peach schnapps,2 - 3 dashes Green Creme de Menthe,,,,
2896,MVP's Strawberry Bomb,7.2,24,1 shot Tequila Rose,1 shot Vodka,1 shot Strawberry schnapps,,,
2897,The 5th Element,6.4,41,3 oz Pineapple juice,3 oz Sprite,1 oz Bacardi 151 proof rum,1 oz Southern Comfort,1 oz Everclear,
2898,Jo Jo,8.5,11,1 part Canadian whisky,3 parts Mello Yello,,,,
2899,Duck Fart #2,6.5,157,1/2 oz Crown Royal,1/2 oz Kahlua,Float 1/3 oz Bailey's irish cream,,,
2900,Arizona Antifreeze,6.4,4459,1/3 oz Vodka,1/3 oz Midori melon liqueur,1/3 oz Sweet and sour,,,
2902,Perfect Flaming Dr. Pepper,6.4,62,1/2 shot Amaretto,1/4 shot Kahlua,1/8 shot Root beer schnapps,1/2 glass Beer,,
2903,Extreme Valentine,5.3,9,2 shots Vodka,5 oz Root beer,5 oz Mountain Dew,1 slice Orange,,
2904,Dirty Oatmeal,6.5,28,1 1/2 oz Jägermeister,1 1/2 oz Bailey's irish cream,,,,
2905,Venom,2.6,9,2 1/2 oz Gin,1 tblsp Cocoa powder,2 tblsp Sugar,,,
2906,Lay Down and Shut Up!,7.0,6,1/2 oz Jägermeister,1/2 oz Hot Damn,1/2 oz Kahlua,1 splash Cream,,
2907,Sax with T.,7.3,9,1 oz Crown Royal,3/4 oz Amaretto,1/4 oz Peach schnapps,Fill with Pineapple juice,And Orange juice,2 splashes Grenadine
2908,Tropical Orgasm,6.7,66,1/2 fifth Vodka,1/4 bottle strawberry Daiquiri mix,1 splash Rum,,,
2909,Be Sweet,6.0,2,2 cl Whiskey,2 cl Parfait d'Amour,,,,
2910,Bazooka Joe,6.4,307,1/2 oz Bailey's irish cream,1/2 oz Blue Curacao,1/2 oz Banana liqueur,,,
2911,Stormcloud,6.4,340,3/4 oz Amaretto,splash Bacardi 151 proof rum,1/4 oz Bailey's irish cream,,,
2912,Velvet Presley,6.5,15,3 shots Bourbon,,,,,
2913,Gin-Dew-It,8.6,20,1 shot Gin,6 oz Mountain Dew,1 splash Sprite,1 wedge Lime,,
2914,DewRunRum,5.7,53,1 part Bacardi 151 proof rum,16 parts Mountain Dew,,,,
2915,Sunny Sex,5.5,10,3 cl Malibu rum,3 cl Orange juice,1 cl Vodka,2 cl Firewater,1 cl Red wine,
2916,Tattooed Love Goddess,9.0,16,1 oz Vodka,1 oz Vanilla schnapps,1 1/2 oz Godiva liqueur,Fill with Half-and-half,,
2917,Mind over Marny,6.2,4,2 parts Orange vodka,2 parts Mango juice,1 part Orange juice,1 part Club soda,,
2918,Pisang cold,6.4,7,1/3 part Pisang Ambon,2/3 part cold semi-skimmed Milk,2-3 Ice,,,
2919,Latin Love,7.8,16,1 oz Cruzan Coconut rum,1 oz Cruzan Banana rum,3 oz Pineapple juice,1 oz Coco Lopez Cream of coconut,1 oz Raspberry juice,1 scoop Ice
2920,Sex on the Beach #9,7.9,14,1 measure Malibu rum,1 measure Passoa,2 measures Orange juice,1 dash Cream,A handful of crushed Ice,
2921,Murder in the Forest,7.7,6,1 measure Pisang Ambon,1 measure Piña Colada,1 measure Vodka,2 measures Orange juice,1 dash Grenadine,
2922,Rootbeer Floatie,9.0,8,1/2 oz Root beer schnapps,1/2 oz Light cream,,,,
2923,Real Romulan Ale,5.8,52,375 ml Bacardi 151 proof rum,375 ml Everclear,375 ml Blue Curacao,,,
2924,Kamikaze #2,6.3,136,1 oz Tequila,1 oz Triple sec,1 oz Lime juice,,,
2925,Black and Brown,5.3,11,1/2 Guinness stout,1/2 Root beer,,,,
2926,A Piece of Ass,6.4,727,1 shot Amaretto,1 shot Southern Comfort,Top off with Sour mix,,,
2927,Green Eyes,8.3,19,3/4 oz Midori melon liqueur,1 oz Rum,1/2 oz Rose's sweetened lime juice,1/2 oz Cream of coconut,1 1/2 oz Pineapple juice,
2928,Three-Legged Monkey,8.5,26,1 oz Crown Royal,1 oz Amaretto,1 oz Pineapple juice,,,
2930,Sex With An Alligator,6.4,248,1 oz Jägermeister,1 oz Melon liqueur,1 oz Raspberry liqueur,1 oz Pineapple juice,,
2931,Southern Dew,6.6,61,1 oz Southern Comfort,1 can Mountain Dew,1 handful Ice,,,
2933,Avalanche,7.8,18,1 shot Crown Royal,1 shot Kahlua,Fill with Cream,,,
2934,Root Beer Float #3,9.3,3,1 1/2 oz Galliano,Fill with Coca-Cola,Float 2 tblsp Heavy cream,,,
2935,Rosebud,9.8,5,2 oz Citrus vodka,1/2 oz Triple sec,1 oz Rose's sweetened lime juice,2 oz Grapefruit juice,,
2936,Golden Nipple,7.6,26,1/2 oz Goldschlager,1/2 oz Butterscotch schnapps,Fill remainder with Bailey's irish cream,,,
2937,Painter's Delight,7.0,3,4 cl Gin,2 cl Green Curacao,1 tsp Pernod,Juice of 1/2 Lemon,Fill with Soda water,
2939,Boom box,6.5,8,1/3 part Smirnoff Vodka,1/3 part White wine,1/3 part Coffee,,,
2940,Spudgun,4.0,5,4 parts Drambuie,2 parts Vodka,2 parts Beer,,,
2941,Jake-Knife,9.1,7,2 oz Jägermeister,Fill with Coca-Cola,Top with Bacardi 151 proof rum,,,
2942,FuzzB@ll,8.5,24,1/3 measure Peach schnapps,2/3 measure Sprite,,,,
2944,Winegum,1.5,2,1 oz Vodka,,,,,
2945,B-52 #6,5.0,75,2 cl Amaretto,1 1/2 cl Bailey's irish cream,1/2 cl Rum,,,
2946,Romona Banana,7.8,4,1/3 oz Amaretto,1/3 oz Banana liqueur,1/3 oz Peppermint schnapps,,,
2947,Brandon and Will's Coke Float,4.0,6,2 scoops Vanilla ice-cream,1 can Coca-Cola,2 oz Bourbon,,,
2948,Mosstrooper,5.0,5,1/2 cup Ice,1 glass Root beer,1 dash 7-Up,,,
2949,Triplesex,6.0,44,2 parts Smirnoff Vodka,2 parts Triple sec,3 parts Sweet and sour,,,
2951,Eben's Magic Juice (Orange),9.0,11,2 parts Orange soda,1 part high proof Vodka,1 package Orange Kool-Aid,,,
2952,Sex on the Beach #10,6.3,46,1 part Smirnoff Vodka,1 part Cointreau,1 part Passoa,1 part Orange juice,,
2953,Rikkertje,nan,0,1 part Bacardi 151 proof rum,1 part Safari,2 parts Orange juice,1 part Smirnoff Vodka,,
2954,Malibu Tequichi,7.6,9,1 part Malibu rum,2 parts Tequila,3 parts Pineapple juice,,,
2955,Tequila BoomBoom,6.2,526,2 parts Tequila,8 drops Tabasco sauce,1 part Tonic water,,,
2956,Blow Job #2,6.4,195,1/2 oz Butterscotch schnapps,1/2 oz Irish cream,,,,
2957,Gorilla Snot #2,7.5,6,1/2 oz Melon liqueur,1/2 oz Creme de Banane,1/5 oz Advocaat,,,
2958,Chocolate Almond,7.6,9,1/3 oz Amaretto,1/3 oz Dark Creme de Cacao,1/3 oz Irish cream,,,
2959,Chocolate Shock,8.9,22,8 oz Hot chocolate,1 shot Aftershock,,,,
2960,Apertif d'Absinthe,6.1,30,1 oz Pernod,1 tsp Wormwood,5 oz Water,4 cubes Sugar,,
2961,Diablo's Blood,5.3,40,50 ml Red wine,50 ml Coca-Cola,,,,
2962,Dragon's Breath,8.6,23,1/2 oz Firewater,1/2 oz Bacardi 151 proof rum,,,,
2963,Green Milkshake,6.5,2,12 1/2 cl Milk,4 cl Green Creme de Menthe,2 cl Cointreau,,,
2964,Schnapp Pop,7.5,4,1 1/4 oz Wildberry schnapps,,,,,
2965,Eliminator,6.7,3,1 1/2 oz Wild Turkey,1 1/2 oz Tequila,6 oz Orange soda,,,
2966,Flaming Lamborghini,6.4,383,1 oz Kahlua,1 oz Sambuca,1 oz Blue Curacao,1 oz Bailey's irish cream,,
2967,Death Wish,6.4,53,1/2 Southern Comfort,1/2 Dr. Pepper,,,,
2968,Shandy,6.3,68,1/2 Beer,1/2 Ginger ale,,,,
2969,Otter Pop,8.3,12,1/2 oz White rum,1/2 oz Blue Curacao,1/4 oz Sweet and sour,1/4 oz 7-Up,,
2970,Fruit Fly,4.0,5,1 can Fruit cocktail,1 tblsp Cinnamon,4 cubes Ice,,,
2971,Pink Banana,6.0,3,1 oz Creme de Banane,5 oz Pink lemonade,,,,
2972,Golden Margarita,6.3,59,1 1/2 shot Tequila,1 1/2 shot Grand Marnier,1 shot Rose's sweetened lime juice,1 shot Sour mix,,
2973,Dolt Bolt,6.5,6,1/3 shot Everclear,1/3 shot Rumple Minze,1/3 shot Goldschlager,,,
2974,Richie 50,5.8,37,8 oz Absolut Vodka,8 oz Orange juice,1 Cherry,,,
2975,Lube Job,6.5,65,3/4 oz Vodka,3/4 oz Irish cream,,,,
2976,Iceberg in Radioactive water,6.1,25,3 oz Midori melon liqueur,1 oz Malibu rum,1 oz Banana liqueur,6-8 oz Pineapple juice,1 scoop Vanilla ice-cream,
2977,Southern Peach,6.5,6,2 oz Southern Comfort,1 1/2 oz Peach schnapps,1/2 oz Triple sec,1 oz Absolut Citron,,
2978,Zipperhead,8.6,26,1 shot Chambord raspberry liqueur,1 shot Vodka,Fill with Soda water,,,
2979,A Gilligan's Island,6.4,234,1 oz Vodka,1 oz Peach schnapps,3 oz Orange juice,3 oz Cranberry juice,,
2980,Danger,5.8,23,1 bottle cold Beer,1 dl cold Vodka,,,,
2981,Terror From the Deep,8.2,18,4 cl Hot Damn,4 cl Dr. Pepper,,,,
2982,Purple Margarita,8.5,12,2 oz Tequila,2 oz Sour mix,2 oz Chambord raspberry liqueur,1 oz Rose's sweetened lime juice,1 oz Cranberry juice,
2983,Grapefruit Teaser,6.2,10,10 oz Grapefruit juice,4 oz Malibu rum,1 splash Lime juice,,,
2985,Volvo,8.5,13,1 cl Cointreau,1 cl Grand Marnier,1 cl Vodka,1 cl Cognac,1 cl Apricot brandy,
2986,The Nog,7.2,5,1 oz Midori melon liqueur,1 oz Triple sec,1 oz Light rum,4 oz Pineapple juice,,
2987,Kioki Coffee,8.8,13,1 oz Kahlua,1/2 oz Brandy,,,,
2988,The Pineapple Drink,7.6,21,1 1/2 shot Light rum,7 chunks Pineapple,2 oz Pineapple juice,4 oz Sweet and sour,2 oz Sprite,
2989,Pure Ecstacy,6.9,47,2 parts Kahlua,4 parts Bailey's irish cream,Plenty of Ice,1-2 part Vodka,,
2990,Sake Bomb,6.6,74,1 shot Sake,1 glass Beer,,,,
2991,Tiger Woods,5.4,23,1 oz Vodka,2 oz Lemon juice,2 oz Cranberry juice,,,
2992,Umbrella Man Special,8.3,18,6 cl Vodka,6 cl Kahlua,6 cl Bailey's irish cream,6 cl Grand Marnier,6 cl Drambuie,
2993,Irish Mint,6.5,52,3 parts Bailey's irish cream,1 part Green Creme de Menthe,6 parts Milk,,,
2994,Apple Pie with A Crust,9.2,18,3 parts Apple juice,1 part Malibu rum,3 dashes Cinnamon,,,
2995,The Peg,7.0,11,2 oz Bourbon,Fill with Coca-Cola,1 tsp fresh Lime juice,,,
2996,Cold Fire,7.0,5,1 oz Rumple Minze,1 oz Ice 101,Splash Milk,,,
2997,Flaming Moz,8.5,10,1 part Blue Curacao,1 part white Sambuca,1 part Green Chartreuse,,,
2998,Cajun Martini,5.4,13,2 parts Stoli Vodka,1 part Vermouth,,,,
2999,Zorbatini,3.3,9,1 1/4 oz Stoli Vodka,1/4 oz Ouzo,,,,
3000,Pear Martini,8.6,8,2 parts Stoli Vodka,1 part Pear liqueur,,,,
3001,Black-Eyed Susan,8.6,25,1-1/4 cup Vodka,1-1/4 cup Light rum,3/4 cup Triple sec,1 tblsp fresh Lime juice,4 cups Pineapple juice,4 cups Orange juice
3002,Mexican three wise men,5.1,40,2/3 oz Jack Daniels,2/3 oz Jim Beam,2/3 oz Jose Cuervo,,,
3003,Vodka Fizz,4.2,8,2 oz Vodka,2 oz Half-and-half,2 oz Limeade,1 pinch Nutmeg,,
3004,Mexican Cappuccino,7.5,6,1 shot Kahlua,1 shot Tequila,,,,
3006,Gorilla Fart #4,5.0,10,1 oz Jack Daniels,1 oz Wild Turkey,1 oz Crown Royal,,,
3007,Bloated Bag of Monkey Spunk,7.3,19,1 oz Rum,1 oz Peach schnapps,1/2 oz Grand Marnier,1 oz Pineapple juice,1 oz Orange juice,
3008,Big Dumb Russian,8.1,8,2 oz Vodka,3 parts Sprite,1 splash Pineapple juice,Blue Maui,,
3009,Dewing the Captain,5.6,47,1 oz Spiced rum,12 oz Mountain Dew,,,,
3010,Sit On My Face Mary Jane,6.1,15,1 part Bailey's irish cream,1 part Frangelico,1 part Crown Royal,,,
3011,Snapple sensation,5.6,9,2 parts Mango Madness Snapple,2 parts Jack Daniels,4 drops Lime juice,,,
3012,Electric Screwdriver,8.7,24,1 shot Southern Comfort,1 glass Orange juice,2 shots Amaretto,,,
3013,Wicked Tasty Treat,7.7,10,1 oz Cinnamon Vodka,1 oz Amaretto,1 oz Kahlua,1 oz Bailey's irish cream,1 oz Cream,
3014,The Fran,6.6,131,2 1/2 oz Spiced rum,2 1/2 oz Yukon Jack,2 dashes Pepper sauce,2 oz Sour mix,Add crushed Ice,Fill with Coca-Cola
3015,Witch's Clit,5.3,124,3/4 gal Lemon-lime soda,1/4 gal Vodka,,,,
3016,Easy does it,7.3,9,1 part Everclear,1 part Kahlua,1 part Bailey's irish cream,,,
3017,Skip And Go Naked #2,6.9,12,1/2 glass Beer,1/2 glass Lemonade,1 shot Southern Comfort,,,
3018,Satan's Piss,4.9,31,1 1/2 oz Bacardi 151 proof rum,3 dashes Tabasco sauce,,,,
3019,P.M.F.,6.9,8,2 oz Bacardi 151 proof rum,2 oz Banana liqueur,2 oz Bailey's irish cream,,,
3021,Shot-gun,7.2,20,1 part Jim Beam,1 part Jack Daniels,1 oz Wild Turkey,,,
3022,Bible Belt,8.0,23,2 oz Southern Comfort,1/2 oz Triple sec,2 wedges Lime,2 oz Sour mix,,
3023,Irish Curdling Cow,7.1,10,3/4 oz Bailey's irish cream,3/4 oz Bourbon,3/4 oz Vodka,2-3 oz Orange juice,,
3024,Creamsicle #2,6.4,43,2 parts Amaretto,1 part Triple sec,2 oz Sour mix,4 oz Orange juice,splash Soda water,
3026,Sweet Tooth,7.5,17,2 shots Godiva liqueur,,,,,
3027,Downshift,7.1,7,2 part Fruit punch,1 part Sprite,2 shots Tequila,Float Bacardi 151 proof rum,,
3028,Pink Penocha,9.1,9,750 ml Everclear,1750 ml Vodka,1750 ml Peach schnapps,1 gal Orange juice,1 gal Cranberry juice,
3029,Angel's Tit,8.1,11,1/4 oz white Creme de Cacao,1/4 oz Cherry liqueur,1/4 oz Half-and-half,Top with Cherry,,
3030,Kosmo,8.2,5,1 1 1/2 oz Orange vodka,1/2 oz Triple sec,Till with 6 oz Cranberry juice,1/3 oz Rose's sweetened lime juice,Juice of 1 Lemon,
3031,Orange Whip,6.4,59,4 oz Orange juice,1 oz Rum,1 oz Vodka,1 package Cream,Over Ice,
3032,Bitter lime,5.2,9,2 oz Lemon gin,4 oz Gatorade,2 tblsp Lime juice,,,
3033,Chocolate Slam,6.5,52,1/8 Vodka,1/8 Chocolate syrup,3/4 Coca-Cola,,,
3034,Bruised Heart,7.6,8,1/2 oz Vodka,1/2 oz Chambord raspberry liqueur,1/2 oz Peachtree schnapps,1/2 oz Cranberry juice,,
3035,Fireball #2,9.3,3,1 oz Southern Comfort,3 oz Cinnamon schnapps,1 dash Tabasco sauce,1 Cherry,,
3036,Electric Lemonade #1,6.5,68,3/4 oz Light rum,3/4 oz Blue Curacao,1 oz Sweet and sour,Fill with 7-Up,,
3037,Stan's Surprise,6.6,5,2 cl Vodka,1 cl Rose's sweetened lime juice,Grape Tonic water,,,
3038,Gideon's Green Dinosaur,7.6,5,1/2 oz Dark rum,1/2 oz Vodka,1/2 oz Triple sec,1/2 oz Tequila,1/2 oz Melon liqueur,Fill with Mountain Dew
3039,Sit on my face,6.3,40,1/3 oz Kahlua,1/3 oz Frangelico,1/3 oz Bailey's irish cream,,,
3040,Rearbuster,6.4,25,2 oz Tequila,2 oz Kahlua,Fill with Cranberry juice,,,
3041,A True Amaretto Sour,6.4,444,1 jigger Amaretto,Juice of 1/2 Lemon,,,,
3042,Kool First Aid,4.4,10,2 oz light 151 proof rum,1/2 tsp Tropical Kool-Aid,,,,
3043,Tickle me Elmo,7.2,15,1 shot Strawberry schnapps,2 shots Everclear,,,,
3044,Cookie Monster #1,6.8,5,1 shot blue Maui,2 shots Everclear,,,,
3045,"Hop, Skip, and Go Naked",9.3,19,6 oz frozen Limeade,6 oz frozen Lemonade,6 oz Peach schnapps,6 oz Bacardi 151 proof rum,,
3046,Kool-Aid (Boulder style),6.1,14,1/2 shot Amaretto,1/2 shot Southern Comfort,1/2 shot Cranberry juice,1 splash Grenadine,,
3047,Super Sprite,7.3,12,3/4 part Sprite,1/4 part Lime vodka,,,,
3048,Tootsy Pop,7.4,14,1 shot Midori melon liqueur,2 shots Peach schnapps,4 oz Orange juice,,,
3049,Rumka,4.2,13,1 oz Vodka,1 oz Spiced rum,,,,
3050,Aqua,6.3,54,2 cl Vodka,2 cl Bailey's irish cream,2 cl Blue Curacao,Fill with 7-Up,,
