Angel Face,8.6,5,1/2 oz,Apricot brandy,1/2 oz,Apple brandy,1 oz,Gin
Angel's Kiss,8.1,19,1/4 oz,white Creme de Cacao,1/4 oz,Sloe gin,1/4 oz,Brandy,1/4 oz,Light cream
Angel's Wing,6.1,8,1/2 oz,white Creme de Cacao,1/2 oz,Brandy,1 tblsp,Light cream
Angler's Cocktail,4.8,4,1 1/2 oz,Gin,1 dash,Grenadine,2 dashes,Bitters,3 dashes,Orange bitters
Ante,6.0,3,1 oz,Apple brandy,1/2 oz,Triple sec,1 oz,Dubonnet Rouge
Antoine Special,6.7,6,1 1/2 oz,Dubonnet Blanc,1 1/2 oz,Dry Vermouth
Apple Blow Fizz,6.4,5,2 oz,Apple brandy,1/2 Lemon,Juice,1 tsp,Powdered sugar,1 Egg,white
Apple Brandy Highball,7.8,5,2 oz,Apple brandy,1 twist,Lemon peel
Apple Brandy Sour,6.2,6,2 oz,Apple brandy,1/2 tsp,Powdered sugar,1/2 Lemon,Juice,1/2 slice,Lemon,1,Cherry
Apple Colada,7.2,6,2 oz,Apple schnapps,1 oz,Cream of coconut,1 oz,Half-and-half,1 slice,Apple,1,Cherry
Apple Pie,6.2,13,1 oz,Light rum,1/2 oz,Sweet Vermouth,1 tsp,Applejack,1 tsp,Lemon juice,1/2 tsp,Grenadine
Apple Rum Rickey,6.0,4,3/4 oz,Light rum,3/4 oz,Applejack,1/4,Lime
Applecar,6.2,6,1 oz,Applejack,1 oz,Triple sec,1 oz,Lemon juice
Appled Rum Cooler,4.7,3,1 1/2 oz,A?ejo rum,1/2 oz,Applejack,2 tsp,Lime juice,2 oz,Club soda
Apricot Anise Collins,7.5,6,1/2 oz,Apricot brandy,1 1/2 oz,Gin,1 1/2 tsp,Anisette,1 tblsp,Lemon juice,1 slice,Lemon
Apricot Cocktail,7.0,8,1 tsp,Gin,1 1/2 oz,Apricot brandy,1/4 Lemon,Juice,1/4 Orange,Juice
Apricot Lady,7.3,3,1 1/2 oz,Light rum,1 oz,Apricot brandy,1 tsp,Triple sec,1/2 oz,Lemon juice,1 Egg,white,1,Orange
Arcadia,4.6,5,1 1/2 oz,Gin,1/2 oz,Galliano,1/2 oz,Creme de Banane,1/2 oz,Grapefruit juice
Archbishop,5.2,6,2 oz,Gin,1 oz,Green Ginger Wine,1 tsp,Benedictine,1,Lime
Arise My Love,7.7,6,Chilled,Champagne,1 tsp,Green Creme de Menthe
Arthur Tompkins,7.2,12,2 oz,Gin,1/2 oz,Grand Marnier,2 tsp,Lemon juice,1 twist,Lemon peel
Artillery,6.6,11,1 1/2 tsp,Sweet Vermouth,1 1/2 oz,Gin,2 dashes,Bitters
B And B,6.6,50,1/2 oz,Brandy,1/2 oz,Benedictine
Babbie's Special Cocktail,7.5,4,1 1/2 oz,Apricot brandy,1 tsp,Gin,1 tblsp,Light cream
Bacardi Cocktail,6.5,42,1 3/4 oz,Bacardi Light rum,1 oz,Lime juice,1/2 tsp,Sugar syrup,1 dash,Grenadine
Bahama Mama,6.3,174,1/4 oz,Coffee liqueur,1/2 oz,Dark rum,1/2 oz,Coconut liqueur,1/4 oz,151 proof rum,1/2 Lemon,Juice,4 oz,Pineapple juice
Balmoral,6.8,8,1 1/2 oz,Scotch,1/2 oz,Sweet Vermouth,1/2 oz,Dry Vermouth,2 dashes,Bitters
Baltimore Bracer,3.7,6,1 oz,Brandy,1 oz,Anisette,1 Egg,white
Baltimore Eggnog,6.0,3,1 oz,Jamaican Rum,1 oz,Brandy,1 oz,Madeira,1 whole,Egg,1 tsp,Powdered sugar,3/4 cup,Milk
Banana Cow,8.3,13,1 oz,Light rum,1 oz,Creme de Banane,1 1/2 oz,Cream,1 dash,Grenadine,1 slice,Banana
Banana Daiquiri,5.9,94,1 1/2 oz,Light rum,1 tblsp,Triple sec,1,Banana,1 1/2 oz,Lime juice,1 tsp,Sugar,1,Cherry
Banana Punch #1,6.3,3,1 1/2 tsp,Apricot brandy,2 oz,Vodka,1/2 Lime,Juice,1/2,Banana,2,Mint
Banana Rum Cream,5.0,5,1 1/2 oz,Dark rum,1/2 oz,Creme de Banane,1 oz,Light cream
Barbary Coast,6.3,10,1/2 oz,Scotch,1/2 oz,Gin,1/2 oz,Rum,1/2 oz,white Creme de Cacao,1/2 oz,Light cream
Baron Cocktail,8.4,8,1/2 oz,Dry Vermouth,1/2 tsp,Sweet Vermouth,1 1/2 tsp,Triple sec,1 1/2 oz,Gin,1,Lemon
Barrier Breaker,2.0,3,1 1/2 oz,Dark rum,1/2 oz,Galliano,2 tsp,Dark Creme de Cacao,4 oz,cold Coffee,crushed,Ice
Barton Special,3.8,4,1/2 oz,Applejack,1/4 oz,Gin,1/4 oz,Scotch
Basic Bill,4.0,2,1 1/2 oz,A?ejo rum,1/2 oz,Dubonnet Rouge,1/2 oz,Grand Marnier,2 dashes,Bitters
Batida Abacaxi,7.0,8,2 oz,Cachaca,4 oz,Pineapple,1/2 tsp,granulated Sugar,1 cup,crushed Ice
Batida Mango,8.5,6,2 oz,Cachaca,4 oz,Mango,2 tsp,granulated Sugar,1 cup,crushed Ice
Batida Morango,7.7,7,2 oz,Cachaca,5 very,ripe Strawberries,1/2 tsp,granulated Sugar,1 cup,crushed Ice
Beachcomber,8.0,8,2 tsp,superfine Sugar,1,Lime,2 oz,Light rum,1 tsp,Maraschino liqueur,1 tsp,Cherry brandy,1/2 oz,Lime juice
Beadlestone Cocktail,3.6,8,1 1/2 oz,Dry Vermouth,1 1/2 oz,Scotch
Beal's Cocktail,2.5,4,1/2 oz,Dry Vermouth,1/2 oz,Sweet Vermouth,1 1/2 oz,Scotch
Beauty Spot Cocktail,6.2,8,1/2 oz,Sweet Vermouth,1/2 oz,Dry Vermouth,1 oz,Gin,1 tsp,Orange juice,1 dash,Grenadine
Bee Stinger,5.6,9,1 1/2 oz,Blackberry brandy,1/2 oz,White Creme de Menthe
Belles Of St. Mary's,6.9,10,1 1/2 oz,Gin,1 oz,Triple sec,1 oz,Apricot brandy,2 tsp,Lemon juice
Bengal,7.0,4,1 1/2 oz,Brandy,1/2 oz,Maraschino liqueur,1/2 oz,Triple sec,1 oz,Pineapple juice,2 dashes,Bitters
Bennett Cocktail,8.5,6,1 1/2 oz,Gin,1/2 Lime,Juice,1/2 tsp,Powdered sugar,2 dashes,Orange bitters
Bentley,7.6,5,1 1/2 oz,Calvados,1 oz,Dubonnet Rouge,1 twist,Lemon peel
Bermuda Highball,5.3,3,3/4 oz,Brandy,3/4 oz,Gin,3/4 oz,Dry Vermouth,Twist,Lemon peel
Bermuda Rose,7.1,8,1 1/2 tsp,Apricot brandy,1 1/4 oz,Gin,1 1/2 tsp,Grenadine
Bernardo,7.4,5,2 oz,Gin,1/2 oz,Triple sec,2 tsp,Lemon juice,2 dashes,Bitters,1 twist,Lemon peel
Betsy Ross,2.0,1,crushed,Ice,2 oz,Brandy,1 1/2 oz,Tawny port,1/2 tsp,Triple sec
Between The Sheets,6.5,88,1 oz,Brandy,1 oz,Light rum,1 oz,Triple sec,1 oz,Lemon juice
Biffy Cocktail,2.0,1,1 1/2 oz,Gin,1 tblsp,Swedish Punsch,1/2 Lemon,Juice
Bijou Cocktail,6.8,10,3/4 oz,Sweet Vermouth,3/4 oz,Gin,3/4 oz,Green Chartreuse,1 dash,Orange bitters,1,Cherry
Bikini,3.4,23,1 oz,Light rum,2 oz,Vodka,1/2 oz,Milk,1 tsp,Sugar,1/2 Lemon,Juice,Twist,Lemon peel
Billy Taylor,7.3,6,2 oz,Gin,1/2 Lime,Juice
Bishop,6.3,6,1/4 Lemon,Juice,1/4 Orange,Juice,1 tsp,Powdered sugar
Bitch-On-Wheels,4.2,6,2 oz,Gin,1/2 oz,Dry Vermouth,1/2 oz,White Creme de Menthe,1 tsp,Pernod
Black Baltimore,4.3,3,2 oz,Brandy,1 oz,Black Sambuca,1 Egg,white
Black Devil,6.6,11,1/2 oz,Dry Vermouth,2 oz,Light rum,1 black,Olive
Black Hawk,7.8,4,1 1/4 oz,Blended whiskey,1 1/4 oz,Sloe gin,1,Cherry
Blackjack #1,6.3,50,1 1/2 oz,Scotch,1 oz,Kahlua,1/2 oz,Triple sec,1/2 oz,Lemon juice
Black Maria,5.4,7,2 oz,Coffee brandy,2 oz,Light rum,4 oz,strong, black Coffee,2 tsp,Powdered sugar
Black Monday,1.7,3,1 oz,Dark rum,1/2 oz,Black Sambuca,1 tsp,Cherry brandy,1/2 oz,Lemon juice
Black Pagoda,6.8,12,1 1/2 oz,Brandy,1/2 oz,Sweet Vermouth,1/2 oz,Dry Vermouth,2 tsp,Triple sec
Black Russian,6.2,602,3/4 oz,Coffee liqueur,1 1/2 oz,Vodka
Black Stripe Cold,4.2,5,2 oz,Dark rum,1/2 oz,Molasses,1 tsp,Honey,1 oz,boiling Water,crushed,Ice
Black Velvet,6.5,48,5 oz,chilled Stout,5 oz,chilled Champagne
Blackjack #2,7.0,4,1/2 oz,Brandy,1 oz,Kirschwasser,1 oz,Coffee
Blackthorn,5.5,2,1 oz,Sweet Vermouth,1 1/2 oz,Sloe gin,1 twist,Lemon peel
Blarney Stone Cocktail,7.3,3,2 oz,Irish whiskey,1/2 tsp,Anis,1/2 tsp,Triple sec,1/4 tsp,Maraschino liqueur,Twist,Orange peel,1,Olive
Blimey,5.1,17,2 oz,Scotch,1/2 oz,Lime juice,1/2 tsp,superfine Sugar
Blinder,5.3,7,2 oz,Scotch,5 oz,Grapefruit juice,1 tsp,Grenadine
Bloodhound Cocktail,7.2,4,1/2 oz,Sweet Vermouth,1/2 oz,Dry Vermouth,1 oz,Gin,3 crushed,Strawberries
Bloody Bull,8.8,21,1 oz,Vodka,1/2 glass,Tomato juice,1/2 glass,Beef bouillon,1 slice,Lime,1,Lemon
Bloody Maria,7.8,31,1 oz,Tequila,2 oz,Tomato juice,1 dash,Lemon juice,1 dash,Tabasco sauce,1 dash,Celery salt,1 slice,Lemon
Bloody Mary,6.4,860,1 1/2 oz,Vodka,3 oz,Tomato juice,1 dash,Lemon juice,1/2 tsp,Worcestershire sauce,2-3 drops,Tabasco sauce,1 wedge,Lime
Blue Cowboy,5.3,15,crushed,Ice,1 1/2 oz,Gin,1/2 oz,Blue Curacao
Blue Devil Cocktail,7.4,7,1 oz,Gin,1/2 Lemon,Juice,1 tblsp,Maraschino liqueur,1/2 tsp,Blue Curacao
Blue Hawaiian,6.4,5786,1 oz,Light rum,2 oz,Pineapple juice,1 oz,Blue Curacao,1 oz,Cream of coconut,1 slice,Pineapple,1,Cherry
Blue Lagoon,6.4,464,1 oz,Vodka,1 oz,Blue Curacao,1,Cherry
Blue Margarita,5.7,124,1 1/2 oz,Tequila,1 oz,Blue Curacao,1 oz,Lime juice,Coarse,Salt
Blue Mountain,6.0,4,1 1/2 oz,A?ejo rum,1/2 oz,Tia maria,1/2 oz,Vodka,1 oz,Orange juice,1 tsp,Lemon juice
Bluebird,5.6,7,1 1/2 oz,Gin,1/2 oz,Triple sec,1/2 oz,Blue Curacao,2 dashes,Bitters,1 Maraschino,cherry,1 twist,Lemon peel
Bobby Burns Cocktail,6.2,8,1 1/2 oz,Sweet Vermouth,1 1/2 oz,Scotch,1 1/4 tsp,Benedictine,1 twist,Lemon peel
Bolero,2.0,1,3/4 oz,Apple brandy,1 1/2 oz,Light rum,1/4 tsp,Sweet Vermouth
Bombay Cocktail,6.3,6,1/2 oz,Dry Vermouth,1/2 oz,Sweet Vermouth,1 oz,Brandy,1/2 tsp,Triple sec,1/4 tsp,Anis
Boomerang,7.8,4,2 oz,Gin,1/2 oz,Dry Vermouth,2 dashes,Bitters,1/2 tsp,Maraschino liqueur,1 Maraschino,cherry
Border Crossing,7.2,30,1 1/2 oz,Tequila,2 tsp,Lime juice,1 tsp,Lemon juice,4 oz,Coca-Cola,1,Lime
Bosom Caresser,5.3,3,crushed,Ice,1 1/2 oz,Brandy,1 oz,Madeira,1/2 oz,Triple sec
Boston Cocktail,5.9,7,3/4 oz,Gin,3/4 oz,Apricot brandy,1 1/2 tsp,Grenadine,1/4 Lemon,Juice
Boston Sidecar,7.1,20,3/4 oz,Light rum,3/4 oz,Brandy,3/4 oz,Triple sec,1/2 Lime,Juice
Boston Sour,7.9,7,2 oz,Blended whiskey,1/2 Lemon,Juice,1 tsp,Powdered sugar,1 Egg,white,1 slice,Lemon,1,Cherry
Bourble,5.2,13,2 oz,Bourbon,1/2 oz,Triple sec,1/2 oz,Lemon juice
Bourbon and Branch,6.3,2800,2 oz,Bourbon,4 oz,bottled Water
Bourbon Black Hawk,6.0,5,2 oz,Bourbon,1 oz,Sloe gin,1 Maraschino,cherry
Bourbon Black Hawk #2,6.0,2,2 oz,Bourbon,1/2 oz,Sloe gin,1 oz,Lemon juice,1 tsp,superfine Sugar,1 Maraschino,cherry
Bourbon Cobbler #1,2.5,2,1 1/2 tsp,superfine Sugar,3 oz,Club soda,1 Maraschino,cherry,1,Orange,1,Lemon,2 1/2 oz,blended Bourbon
Bourbon Cobbler #2,7.0,4,1 tsp,superfine Sugar,3 oz,Club soda,2 oz,Bourbon
Bourbon Cooler,6.8,4,2 oz,Bourbon,4 oz,Lemon-lime soda,1,Lemon
Bourbon County Cowboy,6.6,8,2 oz,Bourbon,1/2 oz,Light cream
Bourbon Daisy,2.0,3,2 oz,Bourbon,1 oz,Lemon juice,1/2 tsp,Grenadine,1/2 tsp,superfine Sugar,1,Orange,1 Maraschino,cherry
Bourbon Fix,2.8,11,1 tsp,superfine Sugar,1 oz,Lemon juice,2 tsp,Water,2 oz,Bourbon,1 Maraschino,cherry,1,Lemon
Bourbon Flip,4.2,4,2 oz,Bourbon,1,Egg,1 tsp,superfine Sugar,1/2 oz,Light cream,1/8 tsp,grated Nutmeg
Bourbon Highball,7.1,10,2 oz,Bourbon,1 twist,Lemon peel
Bourbon Milk Punch,4.8,6,2 oz,Bourbon,3 oz,Half-and-half,1 tsp,superfine Sugar,1/4 tsp,Vanilla extract,1/4 tsp,grated Nutmeg
Bourbon Milk Punch #2,5.4,13,1 tsp,superfine Sugar,2 oz,Bourbon,5 oz,Milk,1/4 tsp,ground Cinnamon
Bourbon Milk Punch #3,5.7,3,2 oz,Bourbon,1/2 oz,Dark Creme de Cacao,5 oz,Milk,1/4 tsp,grated Nutmeg
Classic Old-Fashioned,6.8,74,3 dashes,Bitters,1 tsp,Water,1,Sugar,3 oz,Bourbon,1,Orange,1 Maraschino,cherry
Bourbon Sling,5.2,8,1 tsp,superfine Sugar,2 tsp,Water,1 oz,Lemon juice,2 oz,Bourbon,1 twist,Lemon peel
Bourbon Sour,7.5,16,2 oz,Bourbon,1 oz,Lemon juice,1/2 tsp,superfine Sugar,1,Orange,1 Maraschino,cherry
Bourbon Swizzle,6.6,5,1 1/2 oz,Lime juice,1 tsp,superfine Sugar,2 oz,Bourbon,1 dash,Bitters,crushed,Ice,3 oz,Club soda
Boxcar,4.3,6,1 1/2 oz,Gin,1 oz,Triple sec,1 tsp,Lemon juice,1/2 tsp,Grenadine,1 Egg,white
Brainstorm,6.3,6,2 oz,Scotch,1/2 oz,Benedictine,1 tsp,Sweet Vermouth
Brandied Egg Sour,3.3,7,1,Egg,2 oz,Brandy,1/2 oz,Triple sec,1 oz,Lemon juice,1 tsp,superfine Sugar
Brandied Madeira,7.2,4,1 oz,Brandy,1/2 oz,Dry Vermouth,1 oz,Madeira,1 twist,Lemon peel
Brandy Alexander #2,6.4,262,1 1/2 oz,Brandy,1 oz,Dark Creme de Cacao,1 oz,Half-and-half,1/4 tsp,grated Nutmeg
Brandy Alexander #3,5.7,57,1 1/2 oz,Brandy,1 oz,white Creme de Cacao,1 oz,Heavy cream,1/4 tsp,grated Nutmeg
Brandy And Soda,6.1,16,2 oz,Brandy,5 oz,Club soda
Brandy Blazer,5.5,4,1 tsp,granulated Sugar,2 oz,Brandy,1 slice,Orange,1 twist,Lemon peel
Brandy Cobbler,7.3,3,1 tsp,superfine Sugar,3 oz,Club soda,1,Lemon,2 oz,Brandy,1 Maraschino,cherry,1,Orange
Brandy Cocktail,7.8,4,2 oz,Brandy,1/4 tsp,Sugar syrup,2 dashes,Bitters,1 twist,Lemon peel
Brandy Collins,7.2,4,1/2 Lemon,Juice,2 oz,Brandy,1 tsp,Powdered sugar,1 slice,Orange,1,Cherry
Brandy Cooler,5.9,15,2 oz,Brandy,4 oz,Lemon-lime soda,1,Lemon
Brandy Daisy,5.6,5,2 oz,Brandy,1 oz,Lemon juice,1/2 tsp,superfine Sugar,1/2 tsp,Grenadine,1 Maraschino,cherry,1,Orange
Brandy Fix,3.0,2,2 1/2 oz,Brandy,1/2 Lemon,Juice,1 tsp,Powdered sugar,1 tsp,Water,1 slice,Lemon
Brandy Fizz,5.5,8,2 1/2 oz,Brandy,1 oz,Lemon juice,1 tsp,superfine Sugar,4 oz,Club soda
Brandy Flip,8.1,7,2 oz,Brandy,1 whole,Egg,1 tsp,superfine Sugar,1/2 oz,Light cream,1/8 tsp,grated Nutmeg
Brandy Highball,6.0,4,2 oz,Brandy,1 twist,Lemon peel
Brandy Milk Punch,6.5,11,2 oz,Brandy,1 cup,Milk,1 tsp,Powdered sugar
Brandy Sangaree,3.0,1,2 oz,Brandy,1/2 tsp,Powdered sugar,1 tsp,Water,1 tblsp,Port
Brandy Sling,4.0,6,1 tsp,superfine Sugar,2 tsp,Water,1 oz,Lemon juice,2 oz,Brandy,1 twist,Lemon peel
Brandy Smash,8.0,3,4 fresh,Mint,1 tsp,superfine Sugar,1 oz,Club soda,2 1/2 oz,Brandy,1,Orange,1 Maraschino,cherry
Brandy Sour,8.1,23,2 oz,Brandy,1/2 Lemon,Juice,1/2 tsp,Powdered sugar,1/2 slice,Lemon,1,Cherry
Brandy Swizzle,6.2,5,1 1/2 oz,Lime juice,1 tsp,superfine Sugar,2 oz,Brandy,1 dash,Bitters,crushed,Ice,3 oz,Club soda
Brandy Toddy,3.5,2,2 oz,Brandy,1/2 tsp,Powdered sugar,1 tsp,Water,1 twist,Lemon peel
Brandy Vermouth Cocktail,6.6,5,1 1/2 oz,Sweet Vermouth,2 oz,Brandy,1 dash,Bitters
Brantini,4.8,5,1 1/2 oz,Brandy,1 dash,Dry Vermouth,1 oz,Gin,1 twist,Lemon peel
Brave Bull,4.9,57,1 1/2 oz,Tequila,1 oz,Coffee liqueur,Twist,Lemon peel
Brazil Cocktail,8.0,4,1 1/2 oz,dry Sherry,1 1/2 oz,Dry Vermouth,1/4 tsp,Anis,1 dash,Bitters
Brian's Belief,3.5,4,1 1/2 oz,A?ejo rum,1/2 oz,Dark Creme de Cacao,1/2 oz,Lemon juice,2 tsp,superfine Sugar,4 oz,cold Tea
Broken Spur Cocktail,5.0,10,3/4 oz,Sweet Vermouth,1 1/2 oz,Port,1/4 tsp,Triple sec
Bronx Cocktail (Dry),8.3,9,1 oz,Dry Vermouth,1 oz,Gin,1/4 Orange,Juice,1 slice,Orange
Bronx Golden Cocktail,8.7,3,1/2 oz,Dry Vermouth,1/2 oz,Sweet Vermouth,1 oz,Gin,1/4 Orange,Juice,1 slice,Orange,1 Egg,yolk
Bronx Silver Cocktail,4.3,3,1/2 oz,Dry Vermouth,1 oz,Gin,1/2 Orange,Juice,1 Egg,white
Bronx Terrace Cocktail,5.4,5,1 1/2 oz,Dry Vermouth,1 1/2 oz,Gin,1/2 Lime,Juice,1,Cherry
Brown Bomber,5.0,2,1/2 oz,Peanut liqueur,1/2 oz,white Creme de Cacao,2 oz,Light cream
Brown Cocktail,4.0,4,3/4 oz,Light rum,3/4 oz,Gin,3/4 oz,Dry Vermouth
Buck Jones,4.0,4,1 1/2 oz,Light rum,1 oz,sweet Sherry,1/2 Lime,Juice
Buddy's Favorite,4.9,14,1 1/2 oz,Bourbon,6 oz,cold Water
Bull's Eye,7.3,3,1 oz,Brandy,2 oz,hard Cider
Bull's Milk,5.7,7,1 oz,Light rum,1 1/2 oz,Brandy,1 cup,Milk,1 tsp,Powdered sugar,1 pinch,Cinnamon
Bulldog Cocktail,7.9,8,1 1/2 oz,Cherry brandy,3/4 oz,Gin,1/2 Lime,Juice
Bulldog Highball,8.1,17,2 oz,Gin,1/2 Orange,Juice
Bumbo,1.6,7,2 oz,Dark rum,1 oz,Lemon juice,1/2 tsp,Grenadine,1/4 tsp,grated Nutmeg
Burgundy Bishop,2.7,3,1 oz,Light rum,1/4 Lemon,Juice,1 tsp,Powdered sugar
Burnt Embers,5.7,6,1 1/2 oz,A?ejo rum,1/2 oz,Apricot brandy,1 oz,Pineapple juice
Bushranger #1,4.0,6,1 1/2 oz,Light rum,1/2 oz,Dubonnet Rouge,1 dash,Bitters,1 twist,Lemon peel
Bushranger #2,5.0,2,1 1/2 oz,Light rum,1 oz,Dubonnet Blanc,1 dash,Bitters
Button Hook Cocktail,2.0,1,1/2 oz,Brandy,1/2 oz,Apricot brandy,1/2 oz,Anis,1/2 oz,White Creme de Menthe
Cabaret,4.1,9,1 oz,Gin,1/2 oz,Dry Vermouth,1/2 oz,Benedictine,2 dashes,Bitters,1 Maraschino,cherry
Cablegram,6.4,38,2 oz,Blended whiskey,1/2 Lemon,Juice,1 tsp,Powdered sugar
Cactus Bite,6.3,83,2 oz,Tequila,2 oz,Lemon juice,2 tsp,Triple sec,2 tsp,Drambuie,1/2 tsp,superfine Sugar,1 dash,Bitters
Cafe de Paris,1.5,2,2 oz,Gin,1/2 oz,Anisette,1 Egg,white,1 oz,Heavy cream
Cafe De Paris Cocktail,6.0,2,1 1/2 oz,Gin,1 tsp,Anis,1 tsp,Light cream,1 Egg,white
Caipirinha,6.4,7755,2 tsp,granulated Sugar,1,Lime,2 1/2 oz,Cachaca
Caleigh,6.4,5,1 1/2 oz,Scotch,1/2 oz,Blue Curacao,1/2 oz,white Creme de Cacao
California Dream,4.4,12,2 oz,Tequila,1 oz,Sweet Vermouth,1/2 oz,Dry Vermouth,1 Maraschino,cherry
California Lemonade,7.7,6,2 oz,Blended whiskey,1 Lemon,Juice,1 Lime,Juice,1 tblsp,Powdered sugar,1/4 tsp,Grenadine
Calm Voyage,,0,1/2 oz,Light rum,1/2 oz,Strega,1 tblsp,Passion fruit syrup,2 tsp,Lemon juice,1/2 Egg,white
Campbell F. Craig,7.3,3,1 1/2 oz,Tequila,2 oz,Orange juice,2 oz,Pineapple juice,1/2 oz,Chambord raspberry liqueur
Canadian Cherry,8.8,9,1 1/2 oz,Canadian whisky,1/2 oz,Cherry brandy,1 1/2 tsp,Orange juice,1 1/2 tsp,Lemon juice
Canadian Cocktail,8.3,3,1 1/2 oz,Canadian whisky,1 1/2 tsp,Triple sec,1 dash,Bitters,1 tsp,Powdered sugar
Canadian Pineapple,9.0,3,1 1/2 oz,Canadian whisky,1 tsp,Pineapple juice,1 tblsp,Lemon juice,1/2 tsp,Maraschino liqueur,1 stick,Pineapple
Cape Of Good Will,8.5,2,1 1/2 oz,Light rum,1/2 oz,Apricot brandy,1/2 oz,Lime juice,1 oz,Orange juice,2 dashes,Orange bitters
Cappucino Cocktail,6.6,5,3/4 oz,Coffee brandy,3/4 oz,Vodka,3/4 oz,Light cream
Capri,7.0,2,3/4 oz,white Creme de Cacao,3/4 oz,Creme de Banane,3/4 oz,Light cream
Captain Cook,7.0,3,1 1/2 oz,Gin,1/2 oz,Maraschino liqueur,1 oz,Orange juice
Captain's Table,4.2,12,2 oz,Gin,1/2 oz,Campari,1 tsp,Grenadine,1 oz,Orange juice,4 oz,Ginger ale,1 Maraschino,cherry
Caramel Nut,8.2,5,1 oz,Creme de Cacao,1 oz,Caramel liqueur,5 oz,soft Vanilla ice-cream,Chopped,Nuts
Cardinal,7.7,3,1 1/2 oz,A?ejo rum,1/2 oz,Maraschino liqueur,1 tsp,Triple sec,1 tsp,Grenadine
Caroli,3.0,1,crushed,Ice,2 oz,Gin,1/2 oz,Apricot brandy,1 dash,Orange bitters
